resolution,dataset,grouping,mode,price,train_value,relaxed_bound,train_hits,train_cost,test_utility,validation_utility,prepare_seconds,fit_seconds,hits,raw_hits,input_blocks,cost,mean_blocks,peak_blocks,hit_rate,nodes,certificates,flow_objective,residual
native,conversation,global,cut,0.0,37889.0,37889.0,37889.0,48245137.8097432,0.3391661458798322,0.2767700077553105,0.572978417010745,0.0061507089994847775,37990,37990,112010,48454036.883,34247.98599250382,49658,0.3391661458798322,2164.0,2152.0,37889.0,0.0
native,conversation,global,dp,0.0,37889.0,37889.0,37889.0,48245137.8097432,0.3391661458798322,0.2767700077553105,0.572978417010745,5.412500468082726e-05,37990,37990,112010,48454036.883,34247.98599250382,49658,0.3391661458798322,,,,
native,conversation,global,cut,0.0001,33071.667984382875,33071.667984382875,36951.0,38793320.156171285,0.2970313650075886,0.2494300873251745,0.572978417010745,0.0024010000051930547,37160,37160,112010,38895168.055,27491.644791954986,36033,0.3317560932059638,2164.0,2152.0,33071.667984382875,0.0
native,conversation,global,dp,0.0001,33071.667984382875,33071.667984382875,36951.0,38793320.156171285,0.2970313650075886,0.2494300873251745,0.572978417010745,4.82079922221601e-05,37160,37160,112010,38895168.055,27491.644791954986,36033,0.3317560932059638,,,,
native,conversation,global,cut,0.0003,25313.003953148618,25313.003953148618,36951.0,38793320.156171285,0.22758190861083832,0.1954690313401555,0.572978417010745,0.0026023339887615293,37160,37160,112010,38895168.055,27491.644791954986,36033,0.3317560932059638,2164.0,2152.0,25313.003953148615,3.637978807091713e-12
native,conversation,global,dp,0.0003,25313.003953148618,25313.003953148618,36951.0,38793320.156171285,0.22758190861083832,0.1954690313401555,0.572978417010745,5.241698818281293e-05,37160,37160,112010,38895168.055,27491.644791954986,36033,0.3317560932059638,,,,
native,conversation,global,cut,0.001,9793.413719203307,9793.413719203307,21232.0,11438586.280796694,0.10210707990358002,0.07577065978398624,0.572978417010745,0.002434916008496657,22857,22857,112010,11419985.98,8071.804642862495,10162,0.20406213730916883,2164.0,2152.0,9793.413719203305,1.8189894035458565e-12
native,conversation,global,dp,0.001,9793.413719203307,9793.413719203307,21232.0,11438586.280796694,0.10210707990358002,0.07577065978398624,0.572978417010745,4.308400093577802e-05,22857,22857,112010,11419985.98,8071.804642862495,10162,0.20406213730916883,,,,
native,conversation,global,cut,0.003,2418.771632999983,2418.771632999983,3387.0,322742.7890000056,0.02720616798500134,0.028234209075604817,0.572978417010745,0.0018342910043429583,4012,4012,112010,321545.708,227.27297067372652,1313,0.035818230515132575,2164.0,2152.0,2418.771632999982,9.094947017729282e-13
native,conversation,global,dp,0.003,2418.771632999983,2418.771632999983,3387.0,322742.7890000056,0.02720616798500134,0.028234209075604817,0.572978417010745,4.325000918470323e-05,4012,4012,112010,321545.708,227.27297067372652,1313,0.035818230515132575,,,,
native,conversation,global,cut,0.01,159.57210999994413,159.57210999994413,3387.0,322742.7890000056,0.007111355414695116,0.008137270962982578,0.572978417010745,0.002021791005972773,4012,4012,112010,321545.708,227.27297067372652,1313,0.035818230515132575,2164.0,2152.0,159.57210999995004,5.9117155615240335e-12
native,conversation,global,dp,0.01,159.57210999994413,159.57210999994413,3387.0,322742.7890000056,0.007111355414695116,0.008137270962982578,0.572978417010745,4.358298610895872e-05,4012,4012,112010,321545.708,227.27297067372652,1313,0.035818230515132575,,,,
native,conversation,global,cut,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.572978417010745,0.0020444160036277026,0,0,112010,0.0,0.0,0,0.0,2164.0,2152.0,0.0,0.0
native,conversation,global,dp,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.572978417010745,4.2458006646484137e-05,0,0,112010,0.0,0.0,0,0.0,,,,
native,conversation,global,cut,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.572978417010745,0.0021944160107523203,0,0,112010,0.0,0.0,0,0.0,2164.0,2152.0,0.0,0.0
native,conversation,global,dp,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.572978417010745,3.825000021606684e-05,0,0,112010,0.0,0.0,0,0.0,,,,
native,conversation,global,cut,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.572978417010745,0.0022849160013720393,0,0,112010,0.0,0.0,0,0.0,2164.0,2152.0,0.0,0.0
native,conversation,global,dp,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.572978417010745,4.33750101365149e-05,0,0,112010,0.0,0.0,0,0.0,,,,
native,conversation,global,cut,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572978417010745,0.002278750005643815,0,0,112010,0.0,0.0,0,0.0,2164.0,2152.0,0.0,0.0
native,conversation,global,dp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572978417010745,5.175001570023596e-05,0,0,112010,0.0,0.0,0,0.0,,,,
native,conversation,group,cut,0.0,37889.0,37889.0,37889.0,48196852.82674524,0.33900544594232657,0.2767700077553105,0.695175291999476,0.004270500008715317,37972,37972,112010,48437428.883,34236.247227522545,49658,0.33900544594232657,3938.0,3818.0,37889.0,0.0
native,conversation,group,dp,0.0,37889.0,37889.0,37889.0,48196852.82674524,0.33900544594232657,0.2767700077553105,0.695175291999476,7.533299503847957e-05,37972,37972,112010,48437428.883,34236.247227522545,49658,0.33900544594232657,,,,
native,conversation,group,cut,0.0001,33074.24680322266,33074.24680322266,36950.0,38757531.96777337,0.2968833496518168,0.2494300873251745,0.695175291999476,0.004704166989540681,37142,37142,112010,38880960.055,27481.602380294706,36033,0.33159539326845816,3938.0,3818.0,33074.24680322266,0.0
native,conversation,group,dp,0.0001,33074.24680322266,33074.24680322266,36950.0,38757531.96777337,0.2968833496518168,0.2494300873251745,0.695175291999476,8.91250092536211e-05,37142,37142,112010,38880960.055,27481.602380294706,36033,0.33159539326845816,,,,
native,conversation,group,cut,0.0003,25322.74040966799,25322.74040966799,36950.0,38757531.96777337,0.22745926241853406,0.1954690313401555,0.695175291999476,0.0044824579963460565,37142,37142,112010,38880960.055,27481.602380294706,36033,0.33159539326845816,3938.0,3818.0,25322.74040966799,0.0
native,conversation,group,dp,0.0003,25322.74040966799,25322.74040966799,36950.0,38757531.96777337,0.22745926241853406,0.1954690313401555,0.695175291999476,7.712497608736157e-05,37142,37142,112010,38880960.055,27481.602380294706,36033,0.33159539326845816,,,,
native,conversation,group,cut,0.001,10396.70274260329,10396.702742603291,22027.0,11630297.257396711,0.10563108800107134,0.08042508782416251,0.695175291999476,0.004134666989557445,23423,23423,112010,11591261.833,8192.864793713541,10314,0.20911525756628874,3938.0,3818.0,10396.702742603287,1.8189894035458565e-12
native,conversation,group,dp,0.001,10396.702742603291,10396.702742603291,22027.0,11630297.257396711,0.10563108800107134,0.08042508782416251,0.695175291999476,6.749999010935426e-05,23423,23423,112010,11591261.833,8192.864793713541,10314,0.20911525756628874,,,,
native,conversation,group,cut,0.003,6500.147543,6500.147543,7574.0,357950.8189999999,0.046466890607981426,0.0558982772845064,0.695175291999476,0.00384437499451451,5888,5888,112010,227747.861,160.97535014852986,292,0.052566735112936344,3938.0,3818.0,6500.147542999999,9.094947017729282e-13
native,conversation,group,dp,0.003,6500.147543,6500.147543,7574.0,357950.8189999999,0.046466890607981426,0.0558982772845064,0.695175291999476,7.595799979753792e-05,5888,5888,112010,227747.861,160.97535014852986,292,0.052566735112936344,,,,
native,conversation,group,cut,0.01,4903.452174,4903.452174000001,5979.0,107554.7826,0.04576814739755379,0.04695870962982578,0.695175291999476,0.003370457998244092,5415,5415,112010,28850.981,20.39227393052698,64,0.04834389786626194,3938.0,3818.0,4903.452173999998,1.8189894035458565e-12
native,conversation,group,dp,0.01,4903.452174000001,4903.452174000001,5979.0,107554.7826,0.04576814739755379,0.04695870962982578,0.695175291999476,7.05410202499479e-05,5415,5415,112010,28850.981,20.39227393052698,64,0.04834389786626194,,,,
native,conversation,group,cut,0.03,4348.556012,4348.556012,4391.0,1414.7996,0.0458406392286403,0.045809560179317914,0.695175291999476,0.0031019589805509895,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,3938.0,3818.0,4348.556012000001,9.094947017729282e-13
native,conversation,group,dp,0.03,4348.556012,4348.556012,4391.0,1414.7996,0.0458406392286403,0.045809560179317914,0.695175291999476,6.874999962747097e-05,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,group,cut,0.1,4249.52004,4249.52004,4391.0,1414.7996,0.044957593072047136,0.044874497512626024,0.695175291999476,0.0031353330123238266,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,3938.0,3818.0,4249.520040000003,2.7284841053187847e-12
native,conversation,group,dp,0.1,4249.52004,4249.52004,4391.0,1414.7996,0.044957593072047136,0.044874497512626024,0.695175291999476,6.670798757113516e-05,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,group,cut,0.3,3966.56012,3966.56012,4391.0,1414.7996,0.042434604053209535,0.042202889893506346,0.695175291999476,0.0030777089996263385,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,3938.0,3818.0,3966.560120000002,1.8189894035458565e-12
native,conversation,group,dp,0.3,3966.56012,3966.56012,4391.0,1414.7996,0.042434604053209535,0.042202889893506346,0.695175291999476,6.908300565555692e-05,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,group,cut,1.0,2976.2003999999997,2976.2003999999997,4391.0,1414.7996,0.03360414248727792,0.03285226322658748,0.695175291999476,0.002959083009045571,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,3938.0,3818.0,2976.2004000000015,1.8189894035458565e-12
native,conversation,group,dp,1.0,2976.2003999999997,2976.2003999999997,4391.0,1414.7996,0.03360414248727792,0.03285226322658748,0.695175291999476,0.00016087500262074172,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,,,
native,conversation,depth,cut,0.0,37889.0,37889.0,37889.0,48245137.809786215,0.3391661458798322,0.2767700077553105,0.7056331250059884,0.0030485420138575137,37990,37990,112010,48454036.883,34247.98599250382,49658,0.3391661458798322,2260.0,2152.0,37889.0,0.0
