dataset,price,train_value,train_hits,train_cost,test_utility,prepare_seconds,fit_seconds,thresholds,nodes,certificates,flow_objective,residual,hits,raw_hits,input_blocks,cost,mean_blocks,peak_blocks,hit_rate
conversation,0.0,38287.0,38287.0,52701114.693399996,0.3379608963485403,0.6192905000061728,0.030287417001090944,2724,28280,25556,38287.0,0.0,37855,38100,112010,53535113.976,37839.36182622613,65506,0.3379608963485403
conversation,0.0001,33504.07101986,37666.0,41619289.8014,0.2955410945460227,0.6192905000061728,0.031195832998491824,2724,28280,25556,33504.07101985999,7.275957614183426e-12,37305,37550,112010,42014419.999,29696.375372879666,39984,0.33305062048031425
conversation,0.0003,25729.0361729,34991.0,30873212.757,0.22375807509418802,0.6192905000061728,0.030582958017475903,2724,28280,25556,25729.0361729,0.0,34481,34720,112010,31392860.029,22188.90931903006,27631,0.30783858584054996
conversation,0.001,11544.043069399999,28072.0,16527956.9306,0.10479827513614855,0.6192905000061728,0.0321065419993829,2724,28280,25556,11544.04306939998,1.8189894035458565e-11,28361,28476,112010,16622545.202,11749.045731989181,14168,0.2532006070886528
conversation,0.003,6668.3264874,7860.0,397224.50419999997,0.04643615459333988,0.6192905000061728,0.0246306250046473,2724,28280,25556,6668.326487400012,1.2732925824820995e-11,5947,5947,112010,248562.108,175.6871489078736,284,0.05309347379698241
conversation,0.01,5084.080190000001,6220.0,113591.98099999999,0.04446799562539059,0.6192905000061728,0.024188458977732807,2724,28280,25556,5084.080190000008,7.275957614183426e-12,5348,5348,112010,36713.981,25.949951498431297,167,0.04774573698776895
conversation,0.03,4348.556012,4391.0,1414.7996,0.04549245710204446,0.6192905000061728,0.023595042002853006,2724,28280,25556,4348.556011999979,2.091837814077735e-11,5138,5138,112010,1412.996,0.9987251904792736,1,0.045870904383537185
conversation,0.1,4249.52004,4391.0,1414.7996,0.044609413445228105,0.6192905000061728,0.02313129199319519,2724,28280,25556,4249.52004000001,1.000444171950221e-11,5138,5138,112010,1412.996,0.9987251904792736,1,0.045870904383537185
conversation,0.3,3966.56012,4391.0,1414.7996,0.042086431568609944,0.6192905000061728,0.023326042020926252,2724,28280,25556,3966.560120000002,1.8189894035458565e-12,5138,5138,112010,1412.996,0.9987251904792736,1,0.045870904383537185
conversation,1.0,2976.2003999999997,4391.0,1414.7996,0.03325599500044639,0.6192905000061728,0.02207929198630154,2724,28280,25556,2976.2004000000015,1.8189894035458565e-12,5138,5138,112010,1412.996,0.9987251904792736,1,0.045870904383537185
toolagent,0.0,84512.0,84512.0,39283992.64100001,0.5699941045585075,0.6786494170082733,0.02915954199852422,2639,26901,24262,84512.0,0.0,89916,89916,157749,39553101.605,27956.681359678078,37608,0.5699941045585075
toolagent,0.0001,80840.27694884,84419.0,35787230.5116,0.5470721609569632,0.6786494170082733,0.028243667009519413,2639,26901,24262,80840.27694884001,1.4551915228366852e-11,89867,89867,157749,35669136.812,25211.441120000316,32701,0.5696834845228813
toolagent,0.0003,74176.86157672,82498.0,27737128.0776,0.5024324334746971,0.6786494170082733,0.030056667019380257,2639,26901,24262,74176.86157672001,1.4551915228366852e-11,87672,87672,157749,28045953.506,19823.269320969557,24799,0.5557689747637069
toolagent,0.001,60678.3409586,75346.0,14667659.0414,0.4236399467254943,0.6786494170082733,0.029031209007371217,2639,26901,24262,60678.340958600056,5.820766091346741e-11,81435,81435,157749,14606222.044,10323.88052979376,12057,0.5162314816575699
toolagent,0.003,53826.4537976,54893.0,355515.4008,0.36825718126897794,0.6786494170082733,0.02344799999264069,2639,26901,24262,53826.4537976,0.0,58676,58676,157749,194599.304,137.54548983474407,227,0.37195798388579326
toolagent,0.01,52150.943328,53590.0,143905.66719999997,0.3657522904741076,0.6786494170082733,0.02343116601696238,2639,26901,24262,52150.943328,0.0,58370,58370,157749,67294.193,47.56446990796435,119,0.37001819345922954
toolagent,0.03,50676.798334,51805.0,37606.7222,0.3607275653728391,0.6786494170082733,0.0221372919913847,2639,26901,24262,50676.798334,0.0,58047,58047,157749,38086.243,26.91988533217001,59,0.3679706368978567
toolagent,0.1,48044.32778,51805.0,37606.7222,0.34382706514779804,0.6786494170082733,0.022021124983439222,2639,26901,24262,48044.32778000001,7.275957614183426e-12,58047,58047,157749,38086.243,26.91988533217001,59,0.3679706368978567
toolagent,0.3,41091.18028,50590.0,31662.732399999997,0.29807571268280625,0.6786494170082733,0.02202412497717887,2639,26901,24262,41091.18028,0.0,56832,56832,157749,32702.848,23.114827004474698,45,0.36026852785120667
toolagent,1.0,19196.6624,46558.0,27361.3376,0.15464535432871207,0.6786494170082733,0.02155704199685715,2639,26901,24262,19196.662399999987,1.4551915228366852e-11,52808,52808,157749,28412.85,20.08259685682693,42,0.33475964982345374
synthetic,0.0,8755.0,8755.0,5772824.5649999995,0.6798797731202431,0.20157045900123194,0.010911000019405037,1240,9995,8755,8755.0,0.0,42073,42073,61883,5322979.124,13020.667605978328,17748,0.6798797731202431
synthetic,0.0001,8177.7175435,8755.0,5772824.5649999995,0.67127809071312,0.20157045900123194,0.011057208001147956,1240,9995,8755,8177.7175435,0.0,42073,42073,61883,5322979.124,13020.667605978328,17748,0.6798797731202431
synthetic,0.0003,7023.152630500001,8755.0,5772824.5649999995,0.6540747258988737,0.20157045900123194,0.011055874987505376,1240,9995,8755,7023.152630500001,0.0,42073,42073,61883,5322979.124,13020.667605978328,17748,0.6798797731202431
synthetic,0.001,2982.175435,8755.0,5772824.5649999995,0.5938629490490119,0.20157045900123194,0.011851459013996646,1240,9995,8755,2982.175434999999,9.094947017729282e-13,42073,42073,61883,5322979.124,13020.667605978328,17748,0.6798797731202431
