dataset,method,price,fit_seconds,utility_per_block,hits,raw_hits,input_blocks,cost,mean_blocks,peak_blocks,hit_rate,selected,capacity
conversation,global,0.0,0.00011070800246670842,0.3391661458798322,37990,37990,112010,48454036.883,34247.98599250382,49658,0.3391661458798322,,
conversation,group,0.0,9.862499427981675e-05,0.33900544594232657,37972,37972,112010,48437428.883,34236.247227522545,49658,0.33900544594232657,,
conversation,depth,0.0,9.070901433005929e-05,0.3391661458798322,37990,37990,112010,48454036.883,34247.98599250382,49658,0.3391661458798322,,
conversation,group_depth,0.0,0.0002797089982777834,0.3387465404874565,37943,37943,112010,48433951.886,34233.789637769194,49655,0.3387465404874565,,
conversation,unconstrained,0.0,4.262497532181442e-05,0.3387465404874565,37943,37943,112010,48424651.886,34227.21626865034,49655,0.3387465404874565,,
conversation,selected,0.0,0.0,0.3391661458798322,37990,37990,112010,48454036.883,34247.98599250382,49658,0.3391661458798322,depth,
conversation,global,0.0001,3.29999893438071e-05,0.2970313650075886,37160,37160,112010,38895168.055,27491.644791954986,36033,0.3317560932059638,,
conversation,group,0.0001,9.583300561644137e-05,0.2968833496518168,37142,37142,112010,38880960.055,27481.602380294706,36033,0.33159539326845816,,
conversation,depth,0.0001,8.98329890333116e-05,0.2961729075189715,37983,37983,112010,48086726.288,33988.365764310365,49201,0.3391036514596911,,
conversation,group_depth,0.0001,0.0002787910052575171,0.29577123355861085,37936,37936,112010,48066641.291,33974.16940957575,49198,0.3386840460673154,,
conversation,unconstrained,0.0001,3.491700044833124e-05,0.29195578101419517,37196,37713,112010,44940329.686,31764.44896224172,44697,0.3320774930809749,,
conversation,selected,0.0001,0.0,0.2961729075189715,37983,37983,112010,48086726.288,33988.365764310365,49201,0.3391036514596911,depth,
conversation,global,0.0003,3.504101186990738e-05,0.22758190861083832,37160,37160,112010,38895168.055,27491.644791954986,36033,0.3317560932059638,,
conversation,group,0.0003,9.358298848383129e-05,0.22745926241853406,37142,37142,112010,38880960.055,27481.602380294706,36033,0.33159539326845816,,
conversation,depth,0.0003,8.295802399516106e-05,0.22618627082135526,36829,36829,112010,38312919.351,27080.103324173968,35304,0.32880099991072226,,
conversation,group_depth,0.0003,0.0002771659928839654,0.22596102306758326,36799,36799,112010,38297019.354,27068.86498554283,35301,0.3285331666815463,,
conversation,unconstrained,0.0003,2.9874994652345777e-05,0.22596102306758326,36799,36799,112010,38297019.354,27068.86498554283,35301,0.3285331666815463,,
conversation,selected,0.0003,0.0,0.22618627082135526,36829,36829,112010,38312919.351,27080.103324173968,35304,0.32880099991072226,depth,
conversation,global,0.001,3.320901305414736e-05,0.10210707990358002,22857,22857,112010,11419985.98,8071.804642862495,10162,0.20406213730916883,,
conversation,group,0.001,9.304200648330152e-05,0.10563108800107134,23423,23423,112010,11591261.833,8192.864793713541,10314,0.20911525756628874,,
conversation,depth,0.001,9.400001727044582e-05,0.10229266382465851,23364,23364,112010,11906198.725,8415.466561483336,10544,0.20858851888224267,,
conversation,group_depth,0.001,0.0004187079903203994,0.10364674758503706,22174,22174,112010,10564527.803,7467.154926393816,9089,0.19796446745826266,,
conversation,unconstrained,0.001,3.0291994335129857e-05,0.1002141188018927,22174,22488,112010,10949016.553,7738.916913038426,9528,0.19796446745826266,,
conversation,selected,0.001,0.0,0.10364674758503706,22174,22174,112010,10564527.803,7467.154926393816,9089,0.19796446745826266,group_depth,
conversation,global,0.003,3.116601146757603e-05,0.02720616798500134,4012,4012,112010,321545.708,227.27297067372652,1313,0.035818230515132575,,
conversation,group,0.003,9.233297896571457e-05,0.046466890607981426,5888,5888,112010,227747.861,160.97535014852986,292,0.052566735112936344,,
conversation,depth,0.003,8.124997839331627e-05,0.04618124274618338,5177,5177,112010,1413.0,0.9987280177348086,1,0.046219087581465944,,
conversation,group_depth,0.003,0.0002815409970935434,0.04682066256584233,6130,6130,112010,295205.862,208.65560182516307,288,0.05472725649495581,,
conversation,unconstrained,0.003,2.6374997105449438e-05,0.04682066256584233,6130,6130,112010,295205.862,208.65560182516307,288,0.05472725649495581,,
conversation,selected,0.003,0.0,0.04682066256584233,6130,6130,112010,295205.862,208.65560182516307,288,0.05472725649495581,group_depth,
